point_x, point_y, eye_x, eye_y
97.60001,494.1,448.6733,568.9153
97.60001,494.1,445.7199,556.7508
97.60001,494.1,443.8837,555.5859
97.60001,494.1,442.1708,557.097
97.60001,494.1,443.1146,556.5508
97.60001,494.1,446.9195,555.1546
97.60001,494.1,448.2048,554.8425
97.60001,494.1,447.9417,555.1509
97.60001,494.1,447.6087,555.1065
97.60001,494.1,447.2456,554.3291
97.60001,494.1,447.5043,554.4532
97.60001,494.1,446.0562,555.0795
97.60001,494.1,444.6396,555.4545
97.60001,494.1,444.1642,556.3666
97.60001,494.1,444.7744,556.3173
97.60001,494.1,447.2332,554.8555
97.60001,494.1,448.1343,553.5685
97.60001,494.1,448.5722,550.8509
97.60001,494.1,447.7648,549.7247
97.60001,494.1,464.3502,546.5052
97.60001,494.1,501.3968,544.3323
97.60001,494.1,625.5316,537.1169
97.60001,494.1,692.9775,533.1783
97.60001,494.1,782.1683,527.5843
97.60001,494.1,795.7491,525.7127
97.60001,494.1,799.4667,522.9417
97.60001,494.1,798.9682,522.1126
97.60001,494.1,797.2302,523.1666
97.60001,494.1,796.1318,523.7639
97.60001,494.1,786.723,514.5873
97.60001,494.1,760.2383,498.3506
97.60001,494.1,751.506,491.3067
97.60001,494.1,736.6332,483.6022
97.60001,494.1,329.3578,334.5094
97.60001,494.1,145.1111,265.6853
97.60001,494.1,179.2132,356.3682
97.60001,494.1,196.7388,404.2795
97.60001,494.1,231.2209,500.0149
97.60001,494.1,232.6277,505.1837
97.60001,494.1,234.4639,506.2552
97.60001,494.1,235.7685,506.0744
97.60001,494.1,235.6806,506.0262
97.60001,494.1,235.1207,508.7352
97.60001,494.1,234.5701,509.3503
97.60001,494.1,233.1148,506.0203
97.60001,494.1,229.6826,505.1158
97.60001,494.1,221.1878,503.6307
97.60001,494.1,217.1172,503.8515
97.60001,494.1,209.9224,501.3431
97.60001,494.1,208.6293,501.1018
97.60001,494.1,206.7052,501.5566
97.60001,494.1,207.0147,505.5374
97.60001,494.1,195.6869,508.6002
97.60001,494.1,182.8827,502.5067
97.60001,494.1,166.7344,500.6023
97.60001,494.1,160.8304,496.7238
97.60001,494.1,81.2898,405.11
97.60001,494.1,81.2898,405.11
97.60001,494.1,81.2898,405.11
97.60001,494.1,81.2898,405.11
97.60004,494.1,81.2898,405.11
97.60004,494.1,81.2898,405.11
97.60004,494.1,212.8874,437.1026
97.6001,494.1,212.6189,465.2836
97.60013,494.1,213.1587,466.9587
97.60019,494.1,215.1875,471.0823
97.60028,494.1,215.7361,473.131
97.60037,494.1,216.0682,475.3813
97.60049,494.1,215.171,475.8041
97.60068,494.1,215.1603,479.2422
97.60089,494.1,215.5004,480.5597
97.6012,494.1,216.8674,480.4158
97.60153,494.1,217.5946,479.8748
97.60196,494.1,217.7309,479.0142
