point_x, point_y, eye_x, eye_y
97.60001,494.1,369.9603,279.0253
97.60001,494.1,369.4906,277.9744
97.60001,494.1,368.5302,277.9787
97.60001,494.1,367.3638,277.8884
97.60001,494.1,367.5007,278.0314
97.60001,494.1,367.8401,278.4254
97.60001,494.1,368.3799,277.9442
97.60001,494.1,368.1841,278.0627
97.60001,494.1,368.8549,278.0176
97.60001,494.1,369.9684,278.1901
97.60001,494.1,372.3712,277.0027
97.60001,494.1,372.844,276.6713
97.60001,494.1,372.5,277.3809
97.60001,494.1,368.9166,278.9155
97.60001,494.1,334.8567,300.0787
97.60001,494.1,304.4184,321.7675
97.60001,494.1,242.8007,371.3304
97.60001,494.1,221.7749,390.7043
97.60001,494.1,209.6105,405.892
97.60001,494.1,209.7891,407.1775
97.60001,494.1,210.0551,408.7551
97.60001,494.1,209.8548,409.5342
97.60001,494.1,208.1114,409.2626
97.60001,494.1,207.0214,408.7314
97.60001,494.1,204.8952,408.2829
97.60001,494.1,204.0486,408.1149
97.60001,494.1,203.7712,406.2819
97.60001,494.1,203.6314,404.8704
97.60001,494.1,201.1001,403.8731
97.60001,494.1,199.6826,402.2181
97.60001,494.1,196.6595,403.4174
97.60001,494.1,196.1111,403.8877
97.60001,494.1,196.7619,398.6642
97.60001,494.1,196.7619,398.6642
97.60001,494.1,196.7619,398.6642
97.60001,494.1,196.7619,398.6642
97.60001,494.1,196.7619,398.6642
97.60001,494.1,196.7619,398.6642
97.60001,494.1,196.7619,398.6642
97.60001,494.1,196.7619,398.6642
97.60001,494.1,196.7619,398.6642
97.60001,494.1,196.7619,398.6642
97.60001,494.1,208.424,211.1421
97.60001,494.1,202.8678,283.1332
97.60001,494.1,204.6733,357.2463
97.60001,494.1,208.4361,379.4937
97.60001,494.1,213.3497,413.2562
97.60001,494.1,225.8752,473.9633
97.60001,494.1,229.8062,472.7599
97.60001,494.1,232.1841,467.0645
97.60001,494.1,231.2877,466.3436
97.60001,494.1,228.907,469.0703
97.60001,494.1,228.2664,473.3718
97.60001,494.1,229.9057,476.7854
97.60001,494.1,230.4486,477.5719
97.60001,494.1,228.8648,476.0978
97.60001,494.1,227.7825,474.9995
97.60001,494.1,221.1739,470.6173
97.60001,494.1,216.3356,467.8931
97.60001,494.1,206.9271,463.8962
97.60001,494.1,203.8425,462.3619
97.60001,494.1,202.9636,459.5497
97.60004,494.1,203.5731,457.7557
97.60004,494.1,203.8225,455.4089
97.60004,494.1,203.6991,455.8664
97.6001,494.1,204.2222,458.9106
97.60013,494.1,204.5902,459.9291
97.60019,494.1,205.3987,460.8486
97.60028,494.1,204.9127,459.6406
97.60037,494.1,203.1495,456.3987
97.60049,494.1,202.665,455.0678
97.60068,494.1,203.3773,450.5401
97.60089,494.1,204.2903,449.8027
97.6012,494.1,205.1809,451.2813
97.60153,494.1,205.0038,453.4185
97.60196,494.1,202.7112,457.4445
97.60245,494.1,201.8527,457.539
97.60309,494.1,200.8604,456.0109
97.60379,494.1,200.1048,455.6689
97.60464,494.1,200.5574,455.0892
97.60565,494.1,201.5238,455.4474
97.60681,494.1,203.474,457.9241
97.60818,494.1,203.8364,459.1107
97.60974,494.1,204.8093,459.956
97.61154,494.1,205.2277,459.7182
97.61368,494.1,205.825,461.0593
97.61594,494.1,206.1267,461.593
97.61859,494.1,206.7968,463.1045
97.62158,494.1,207.2867,462.8058
97.62494,494.1,207.3637,460.8454
97.62872,494.1,206.7774,460.0428
97.63293,494.1,206.0865,458.348
97.63763,494.1,206.4507,459.1192
97.64288,494.1,206.2235,460.3518
97.64874,494.1,205.7533,460.5433
97.65515,494.1,204.1776,465.7279
97.66211,494.1,204.1257,468.9079
97.66986,494.1,205.763,470.2852
97.67834,494.1,206.7586,467.4245
97.68768,494.1,207.8937,462.3574
97.69788,494.1,207.8356,462.2798
97.70905,494.1,206.7321,462.8036
97.72116,494.1,206.3721,462.5931
97.73431,494.1,207.1757,461.9352
97.74863,494.1,208.3672,461.9799
97.76401,494.1,210.4912,462.8814
97.78082,494.1,210.4122,462.8424
97.79874,494.1,209.4309,463.731
97.81821,494.1,208.9196,464.6488
97.8392,494.1,207.6988,466.263
97.86176,494.1,207.634,465.9037
97.88681,494.1,208.3499,463.9828
97.91284,494.1,208.5862,463.6437
97.94077,494.1,207.7096,463.3203
97.97061,494.1,207.3688,463.9061
98.00256,494.1,208.0782,463.4786
98.03662,494.1,208.8634,462.0403
98.07297,494.1,208.8867,460.4456
98.1123,494.1,208.5228,460.8177
98.15295,494.1,208.3459,462.9069
98.19678,494.1,208.121,464.5949
98.24402,494.1,208.0914,466.0243
98.29327,494.1,208.138,466.7767
98.34528,494.1,208.0868,466.6018
98.40085,494.1,208.1135,465.2517
98.46002,494.1,207.7363,463.9119
98.52194,494.1,206.3437,462.5918
98.58789,494.1,205.8317,462.3522
98.65948,494.1,204.5507,464.1961
98.73297,494.1,202.5042,467.0247
98.81049,494.1,202.3107,467.8231
98.89456,494.1,202.2709,468.8063
98.97824,494.1,202.6066,467.921
99.06885,494.1,203.0983,467.4933
99.16412,494.1,202.5118,467.0535
99.26996,494.1,201.9329,467.0409
99.36951,494.1,200.9974,467.2761
99.48001,494.1,200.7581,467.2858
99.59827,494.1,202.3437,467.1211
99.71753,494.1,203.0783,466.977
99.84836,494.1,203.4055,466.2068
99.98489,494.1,203.1303,465.4769
100.123,494.1,203.5856,464.7681
100.2714,494.1,204.8929,465.2348
100.4245,494.1,206.619,467.5668
100.5829,494.1,206.7356,468.6148
100.7514,494.1,206.3827,468.3483
100.926,494.1,206.2351,468.045
101.116,494.1,206.1986,468.2985
101.3068,494.1,206.3717,469.4534
101.5057,494.1,205.7758,472.6069
101.7163,494.1,205.3024,473.0703
101.9293,494.1,204.2841,472.9044
102.1576,494.1,203.1945,471.759
102.3888,494.1,202.0924,468.5496
102.6355,494.1,201.9668,468.3026
102.8865,494.1,201.1496,468.1132
103.1505,494.1,200.857,468.3726
103.4265,494.1,201.1067,470.0775
103.7211,494.1,201.1547,470.1245
104.0061,494.1,201.2266,469.4292
104.3137,494.1,200.4894,467.6214
104.6477,494.1,200.0905,468.1751
105.0037,494.1,199.5409,469.1313
105.3489,494.1,198.9303,470.9359
105.7072,494.1,199.0364,470.7601
106.0778,494.1,200.2995,468.3557
106.4621,494.1,200.9181,466.8115
106.8604,494.1,201.653,465.6147
107.2728,494.1,204.5003,464.7328
107.7103,494.1,213.9078,462.2226
108.1418,494.1,218.7091,460.4305
108.599,494.1,224.0423,459.1589
109.072,494.1,224.2782,460.089
109.5721,494.1,223.7552,460.0628
110.0669,494.1,224.036,460.8654
110.5983,494.1,225.6295,461.4074
111.1295,494.1,225.9804,460.9638
111.7231,494.1,226.1529,460.1817
112.3004,494.1,223.377,458.4124
112.9495,494.1,220.9057,458.882
113.5664,494.1,215.9207,460.0676
114.203,494.1,214.6298,460.6868
114.8596,494.1,214.404,463.4102
115.5371,494.1,214.6713,464.8142
116.2407,494.1,215.4809,467.3543
116.9554,494.1,215.5606,467.8459
117.7005,494.1,216.4622,466.183
118.4653,494.1,217.0498,465.4566
119.2498,494.1,218.4865,465.1177
120.0632,494.1,218.9129,465.1625
120.897,494.1,219.6674,465.5737
121.7569,494.1,220.1306,465.2981
122.6425,494.1,220.963,464.4679
123.5536,494.1,221.3008,464.8272
124.535,494.1,221.8374,465.5882
125.5006,494.1,222.9111,465.876
126.5331,494.1,223.3124,466.5415
127.5152,494.1,222.7432,466.2539
128.5654,494.1,222.5522,465.7755
129.6536,494.1,223.0916,465.6289
130.7907,494.1,224.2991,465.6349
131.8932,494.1,224.2231,466.1242
133.0641,494.1,224.8538,465.9845
134.2665,494.1,225.8656,465.6591
135.5033,494.1,226.1719,465.9115
136.7692,494.1,226.3635,466.1798
138.0709,494.1,226.3158,466.2079
139.407,494.1,225.3186,466.2715
140.8119,494.1,224.1858,466.8917
142.1849,494.1,222.1334,468.8168
143.6282,494.1,223.8884,469.5329
145.2169,494.1,226.8193,468.6263
147.5764,494.1,227.6431,468.512
149.1578,494.1,228.585,467.2062
150.7783,494.1,229.1986,466.7296
152.4984,494.1,230.7678,465.0597
154.1412,494.1,231.8461,464.7306
155.8856,494.1,234.9129,466.8533
157.6776,494.1,236.5846,468.3993
159.5071,494.1,239.9913,468.8472
161.4644,494.1,241.5101,467.011
163.4583,494.1,243.9285,463.8586
165.4446,494.1,244.907,463.4206
167.4453,494.1,246.1104,463.9653
169.5107,494.1,246.7635,464.0072
171.6234,494.1,248.9749,462.173
173.8897,494.1,249.8725,461.8743
176.1053,494.1,252.4147,463.4702
178.3712,494.1,253.7458,464.7394
180.6896,494.1,255.5667,467.7505
183.0715,494.1,256.5327,468.4391
185.4969,494.1,258.5117,468.5644
188.0644,494.1,259.5853,467.9745
190.5129,494.1,261.816,466.9908
193.1053,494.1,262.7164,466.9325
195.7557,494.1,264.7297,466.3234
198.611,494.1,265.8905,465.7976
201.4,494.1,267.1404,464.5244
204.2135,494.1,267.6278,464.3333
207.1061,494.1,269.6398,464.096
210.0617,494.1,270.6667,464.3233
213.0809,494.1,272.9781,466.6937
216.1647,494.1,273.8732,468.5539
219.4011,494.1,276.2734,471.5654
222.5297,494.1,278.0788,471.7655
225.8127,494.1,281.1504,471.2177
229.1649,494.1,282.4705,470.7429
232.5865,494.1,285.1112,470.7492
236.0789,494.1,289.5669,469.9999
240.7263,494.1,291.932,468.8924
244.3868,494.1,295.5456,466.1048
248.1225,494.1,297.1174,465.3519
251.9805,494.1,299.8958,465.366
255.8174,494.1,302.0432,464.7999
259.7807,494.1,307.0115,465.2317
263.8238,494.1,309.67,466.22
267.9837,494.1,314.0058,468.4888
272.192,494.1,316.2529,469.2878
276.4632,494.1,320.8257,469.1099
280.8394,494.1,322.8277,469.0786
285.2692,494.1,326.4308,469.2581
289.811,494.1,328.3039,469.698
294.4422,494.1,332.0594,470.306
299.1659,494.1,334.0823,469.8723
303.9704,494.1,338.0627,469.7039
308.8702,494.1,340.0217,469.4095
313.981,494.1,342.7368,469.6784
318.9509,494.1,344.1045,469.778
324.1338,494.1,347.3276,469.7149
329.4123,494.1,349.3434,470.3393
334.7896,494.1,352.7794,472.0781
340.266,494.1,354.3905,472.9542
345.8432,494.1,358.7067,472.7415
351.5224,494.1,361.3677,471.4713
357.3883,494.1,364.6935,469.7364
363.1917,494.1,370.9923,467.2727
369.2552,494.1,373.605,467.191
375.3621,494.1,378.5974,467.7229
381.4988,494.1,380.2376,467.4587
387.8203,494.1,383.4632,466.7363
394.2547,494.1,385.561,465.3372
400.8319,494.1,372.4507,425.3618
407.4792,494.1,339.8099,348.8623
414.2418,494.1,322.6755,310.7456
421.1391,494.1,268.9621,200.6674
428.1557,494.1,268.9621,200.6674
435.297,494.1,268.9621,200.6674
442.5542,494.1,268.9621,200.6674
449.9418,494.1,268.9621,200.6674
457.4515,494.1,350.6442,311.0164
465.0891,494.1,367.9017,325.1689
472.8564,494.1,392.4026,387.9117
480.7527,494.1,420.1242,437.9806
488.9752,494.1,440.0116,487.4127
496.9299,494.1,445.0896,492.0988
504.6591,494.1,470.0456,479.1495
512.4026,494.1,478.6442,477.0832
520.1489,494.1,482.5919,480.675
527.5027,494.1,484.8528,479.572
534.975,494.1,488.4806,479.9598
542.0991,494.1,490.1374,480.8174
549.2132,494.1,495.7787,480.836
556.2065,494.1,499.6992,479.6468
563.1375,494.1,507.6296,476.6305
569.8764,494.1,511.3737,476.2196
576.5195,494.1,518.5267,476.7536
583.0199,494.1,522.4227,477.0776
589.436,494.1,530.224,477.0403
595.7166,494.1,533.9951,476.6804
602.0865,494.1,540.9462,476.6812
608.1483,494.1,544.4885,476.7621
613.9558,494.1,552.7592,477.4696
619.823,494.1,557.2205,478.0015
625.5854,494.1,564.8763,478.403
631.2449,494.1,567.7739,477.5718
636.8022,494.1,573.604,475.7522
642.2594,494.1,576.317,475.6141
647.6174,494.1,580.6785,476.1925
652.967,494.1,582.0582,476.6263
658.1166,494.1,589.455,474.7978
663.1863,494.1,595.7526,471.2648
668.0865,494.1,608.276,462.3251
673.0264,494.1,613.2929,458.3613
677.7609,494.1,618.0789,454.037
682.516,494.1,620.5444,454.0391
687.1062,494.1,625.6691,456.8445
691.6417,494.1,627.7183,458.7235
696.0591,494.1,632.2443,462.8086
700.3972,494.1,634.0604,463.1625
704.6708,494.1,637.4589,460.8529
708.8579,494.1,639.6512,460.461
712.9721,494.1,645.1417,461.4343
716.9957,494.1,648.2936,461.3638
720.9429,494.1,654.4532,458.2284
724.9182,494.1,657.2305,456.5806
728.6086,494.1,661.5314,456.054
732.3275,494.1,662.9397,457.2576
736.0591,494.1,664.5977,458.9225
739.5452,494.1,667.7841,460.9041
743.0454,494.1,669.2946,460.8355
746.5255,494.1,672.0253,460.9353
749.8337,494.1,672.5574,461.2308
753.1729,494.1,674.7495,461.2133
756.3879,494.1,676.1063,461.0547
759.5402,494.1,678.8486,460.1916
762.6324,494.1,680.3569,459.4341
765.6485,494.1,684.3668,458.8838
768.6054,494.1,686.5992,459.6516
771.4811,494.1,691.5259,461.1151
