point_x, point_y, eye_x, eye_y
54.10001,273.8813,683.1501,251.0591
54.10001,273.8813,671.0492,253.2382
54.10001,273.8813,671.574,253.1847
54.10001,273.8813,672.0693,252.4924
54.10001,273.8813,671.2624,251.2766
54.10001,273.8813,669.8905,248.7894
54.10001,273.8813,668.9655,247.5133
54.10001,273.8813,668.2851,246.372
54.10001,273.8813,668.0646,246.4258
54.10001,273.8813,668.9519,246.2607
54.10001,273.8813,670.0029,245.8775
54.10001,273.8813,670.669,245.2039
54.10001,273.8813,670.4526,245.2653
54.10001,273.8813,669.7351,246.3394
54.10001,273.8813,670.2444,246.661
54.10001,273.8813,673.7927,246.0595
54.10001,273.8813,675.7867,245.7149
54.10001,273.8813,676.674,244.6161
54.10001,273.8813,676.3784,244.3236
54.10001,273.8813,676.7845,242.9809
54.10001,273.8813,675.9872,241.737
54.10001,273.8813,674.5848,240.2578
54.10001,273.8813,674.7768,239.6458
54.10001,273.8813,675.3285,240.6066
54.10001,273.8813,675.3735,241.1078
54.10001,273.8813,675.7083,240.6979
54.10001,273.8813,675.0251,240.6731
54.10001,273.8813,673.5746,240.7602
54.10001,273.8813,674.6738,241.684
54.10001,273.8813,679.0403,243.7959
54.10001,273.8813,680.5245,244.5019
54.10001,273.8813,679.4489,245.6724
54.10001,273.8813,677.9045,245.5939
54.10001,273.8813,677.1989,244.3509
54.10001,273.8813,677.8529,243.6078
54.10001,273.8813,679.2832,243.0658
54.10001,273.8813,679.6553,243.7326
54.10001,273.8813,679.6934,244.7841
54.10001,273.8813,680.1288,244.4615
54.10001,273.8813,680.1476,243.6769
54.10001,273.8813,680.081,243.7753
54.10001,273.8813,679.7421,244.6416
54.10001,273.8813,679.3516,244.8197
54.10001,273.8813,679.0385,244.2258
54.10001,273.8813,678.984,243.6925
54.10001,273.8813,678.7067,243.6293
54.10001,273.8813,678.5641,244.2327
54.10001,273.8813,678.1285,245.5431
54.10001,273.8813,678.0579,245.9717
54.10001,273.8813,678.1953,246.1926
54.10001,273.8813,678.3392,245.9467
54.10001,273.8813,678.3499,245.9416
54.10001,273.8813,677.4301,246.248
54.10001,273.8813,676.5474,246.9209
54.10001,273.8813,676.1141,247.4403
54.10001,273.8813,674.9045,247.4219
54.10001,273.8813,674.3444,247.0076
54.10001,273.8813,673.4255,246.7874
54.10001,273.8813,673.191,246.6833
54.10001,273.8813,673.3442,245.5234
54.10001,273.8813,673.4421,245.4108
54.10001,273.8813,672.8648,246.4328
54.10002,273.8813,672.5901,247.1823
54.10004,273.8813,671.8846,247.7119
54.10005,273.8813,671.6818,247.3479
54.10007,273.8813,671.7335,246.2802
54.1001,273.8813,671.4446,246.246
54.10016,273.8813,670.0345,248.0161
54.1002,273.8813,670.067,249.6746
54.10028,273.8813,670.9334,251.1236
