point_x, point_y, eye_x, eye_y
97.60001,494.1,368.6924,-235.8144
97.60001,494.1,368.9894,-232.0045
97.60001,494.1,368.0798,-227.0682
97.60001,494.1,364.7642,-230.1938
97.60001,494.1,361.5144,-231.03
97.60001,494.1,357.8579,-235.4736
97.60001,494.1,357.8579,-235.4736
97.60001,494.1,357.8579,-235.4736
97.60001,494.1,282.019,128.5415
97.60001,494.1,435.0471,301.3032
97.60001,494.1,443.5423,321.465
97.60001,494.1,457.1011,378.1748
97.60001,494.1,453.7163,402.0938
97.60001,494.1,453.6155,424.0105
97.60001,494.1,458.1066,419.6298
97.60001,494.1,463.8383,413.8236
97.60001,494.1,465.2779,416.2925
97.60001,494.1,465.861,420.1273
97.60001,494.1,465.8156,419.8891
97.60001,494.1,466.048,416.8778
97.60001,494.1,464.0269,416.7799
97.60001,494.1,426.3763,421.363
97.60001,494.1,381.8065,427.9963
97.60001,494.1,276.1391,445.8263
97.60001,494.1,234.38,453.7468
97.60001,494.1,198.3496,466.2043
97.60001,494.1,197.8439,469.1784
97.60001,494.1,197.5427,470.6297
97.60001,494.1,197.3977,469.4106
97.60001,494.1,196.3492,466.6733
97.60001,494.1,196.1578,465.9885
97.60001,494.1,197.4435,465.6698
97.60001,494.1,198.2415,466.4817
97.60001,494.1,199.6946,465.7244
97.60001,494.1,200.1171,462.5962
97.60001,494.1,199.161,453.5866
97.60001,494.1,198.9296,447.5688
97.60001,494.1,207.3132,404.9936
97.60001,494.1,207.3132,404.9936
97.60001,494.1,207.3132,404.9936
97.60001,494.1,207.3132,404.9936
97.60001,494.1,207.3132,404.9936
97.60001,494.1,207.3132,404.9936
97.60001,494.1,279.5512,519.0297
97.60001,494.1,295.6405,486.9286
97.60001,494.1,285.6732,489.9225
97.60001,494.1,270.0641,493.4765
97.60001,494.1,256.9094,497.9282
97.60001,494.1,248.5162,503.9735
97.60001,494.1,248.1615,503.8462
97.60001,494.1,247.7699,500.8685
97.60001,494.1,247.7469,500.1661
97.60001,494.1,247.8174,501.0973
97.60001,494.1,248.1978,501.5688
97.60001,494.1,247.4668,500.9169
97.60001,494.1,246.2625,500.8248
97.60001,494.1,236.337,499.9339
97.60001,494.1,229.0462,498.8763
97.60001,494.1,216.302,497.8429
97.60001,494.1,212.8491,498.469
97.60001,494.1,210.9718,501.5683
97.60001,494.1,210.3342,502.8674
97.60004,494.1,210.5634,502.9457
97.60004,494.1,210.6261,502.7896
97.60004,494.1,210.14,503.1488
97.6001,494.1,209.8034,502.7647
97.60013,494.1,209.9845,501.746
97.60019,494.1,210.4138,499.8574
97.60028,494.1,211.7995,497.4048
97.60037,494.1,211.8353,497.9981
97.60052,494.1,211.7404,497.8434
97.60071,494.1,211.9708,497.4855
97.60092,494.1,212.5479,495.9249
97.6012,494.1,213.1181,495.7885
97.60156,494.1,213.0918,496.9593
97.60199,494.1,212.641,497.5838
97.60248,494.1,214.9864,498.5198
97.60312,494.1,217.5229,498.6678
97.60388,494.1,221.4682,499.9499
97.60474,494.1,222.3049,501.0386
97.60574,494.1,220.9205,502.9753
97.6069,494.1,220.3092,503.0927
97.60834,494.1,219.966,503.1413
97.60989,494.1,219.224,501.8135
97.61169,494.1,219.0455,500.8081
97.61377,494.1,219.382,501.2779
97.61612,494.1,219.5443,502.2148
97.6188,494.1,219.7177,503.4962
97.62183,494.1,219.5962,503.4813
97.62521,494.1,218.6667,501.7426
97.62903,494.1,218.5747,501.0687
97.63327,494.1,219.6586,499.5515
97.638,494.1,219.8259,498.0138
97.64328,494.1,219.228,497.1261
97.64911,494.1,218.5649,497.8214
97.65555,494.1,218.3688,499.0533
97.66266,494.1,218.8239,499.0459
97.67062,494.1,219.2809,496.9887
97.67902,494.1,219.526,496.1913
97.68887,494.1,220.4958,496.2886
97.69879,494.1,220.353,497.1617
97.70984,494.1,219.1002,498.6822
97.72202,494.1,218.0039,498.8297
97.73584,494.1,216.7157,498.8704
97.74963,494.1,216.8737,498.8186
97.76517,494.1,217.6317,497.4024
97.78214,494.1,217.9517,496.4623
97.80014,494.1,219.0151,496.2488
97.81982,494.1,219.1081,496.2371
97.84082,494.1,218.9266,498.4125
97.86349,494.1,218.8825,499.3959
97.88788,494.1,218.5998,499.2809
97.91397,494.1,218.7321,499.0386
97.94196,494.1,219.4511,497.285
97.97189,494.1,219.9928,497.0726
98.00391,494.1,220.3859,499.081
98.03809,494.1,219.8578,499.9578
98.07452,494.1,218.3115,500.2525
98.11426,494.1,217.9519,499.4803
98.15558,494.1,217.9495,497.7354
98.19958,494.1,218.4228,497.5093
98.24536,494.1,218.5647,498.0207
98.29492,494.1,218.6088,499.667
98.3475,494.1,219.2359,502.6495
98.4043,494.1,219.5833,503.2227
98.46219,494.1,220.2106,502.2659
98.52457,494.1,219.5713,501.7905
98.59161,494.1,217.2822,503.403
98.66022,494.1,216.5517,504.3386
98.73376,494.1,217.1378,504.284
98.81131,494.1,218.3054,503.7585
98.89304,494.1,218.5351,500.5162
98.97913,494.1,218.0831,499.1139
99.07004,494.1,218.52,497.8795
99.1658,494.1,218.8177,496.9255
99.26529,494.1,219.3,497.3296
99.37061,494.1,218.8794,498.0644
99.50186,494.1,216.9399,498.6468
99.6189,494.1,216.2558,498.5939
99.74536,494.1,217.3257,497.84
99.87415,494.1,218.7239,498.0298
100.009,494.1,220.2365,498.0091
100.1502,494.1,219.98,496.9604
100.298,494.1,218.7014,494.62
100.4525,494.1,219.6151,493.6645
100.6141,494.1,220.2324,493.8244
100.8149,494.1,221.301,492.7004
100.9926,494.1,222.2316,492.0737
101.178,494.1,223.3915,492.3467
101.3714,494.1,223.6191,492.5782
101.5731,494.1,215.9196,487.0944
101.7863,494.1,205.6861,476.5427
102.0025,494.1,195.3554,465.6274
102.2399,494.1,187.1807,459.3261
102.4681,494.1,143.1526,370.0239
102.7166,494.1,143.1526,370.0239
102.9738,494.1,169.9502,436.6826
103.2398,494.1,181.3892,474.7883
103.5187,494.1,185.1237,477.9625
103.8064,494.1,202.7881,485.6997
104.1063,494.1,212.2389,489.8472
104.4218,494.1,225.9391,490.1728
104.7451,494.1,226.6988,488.1762
105.0807,494.1,222.4708,483.1851
105.4286,494.1,219.6762,469.6828
105.7944,494.1,215.2842,449.8213
106.1682,494.1,200.2357,407.8363
106.5547,494.1,191.8485,386.162
106.9523,494.1,181.4609,354.0769
107.3679,494.1,131.93,255.5228
107.7983,494.1,131.93,255.5228
108.2436,494.1,131.93,255.5228
108.7046,494.1,131.93,255.5228
109.1812,494.1,123.9885,236.5976
109.6739,494.1,133.2347,244.1528
110.1834,494.1,166.5659,356.9029
110.7101,494.1,187.6335,414.678
111.2731,494.1,219.7965,510.5259
111.8484,494.1,222.0734,503.8683
112.4167,494.1,224.7315,497.2604
113.0281,494.1,224.9915,496.9218
113.6353,494.1,224.8195,498.8925
114.2742,494.1,224.6835,499.825
114.9429,494.1,223.9926,501.5857
115.6127,494.1,224.0518,501.8358
116.3399,494.1,224.5126,500.6878
117.0656,494.1,224.8561,500.1132
117.7803,494.1,225.8805,499.0677
118.5477,494.1,226.3562,498.7684
119.3422,494.1,226.599,497.9237
120.152,494.1,226.5923,497.9054
120.9915,494.1,227.2124,498.8872
121.853,494.1,227.7007,499.8216
122.7414,494.1,228.9609,503.1849
123.6566,494.1,229.5067,504.3731
124.623,494.1,229.7208,504.4749
125.5634,494.1,229.7441,503.7271
126.6189,494.1,230.0747,502.2268
127.705,494.1,230.0851,501.7378
128.7603,494.1,230.5646,501.6493
129.8671,494.1,231.0935,501.5925
130.9595,494.1,231.9805,503.5434
132.105,494.1,232.5992,504.8192
133.2814,494.1,233.5567,506.5351
