point_x, point_y, eye_x, eye_y
97.60001,494.1,38.99262,-239.0474
97.60001,494.1,38.99262,-239.0474
97.60001,494.1,38.99262,-239.0474
97.60001,494.1,38.99262,-239.0474
97.60001,494.1,38.99262,-239.0474
97.60001,494.1,64.81521,-216.3265
97.60001,494.1,112.8213,-149.0891
97.60001,494.1,230.954,27.68456
97.60001,494.1,290.9627,125.2989
97.60001,494.1,357.228,241.2885
97.60001,494.1,367.6563,262.6328
97.60001,494.1,371.9396,273.5785
97.60001,494.1,372.3999,274.146
97.60001,494.1,373.9843,274.973
97.60001,494.1,374.4606,274.9479
97.60001,494.1,373.8145,276.5605
97.60001,494.1,373.1758,277.0947
97.60001,494.1,372.8251,278.5414
97.60001,494.1,372.9717,279.3593
97.60001,494.1,373.6416,280.4804
97.60001,494.1,372.9123,276.74
97.60001,494.1,347.3389,214.5381
97.60001,494.1,326.9375,166.6127
97.60001,494.1,293.5464,88.22291
97.60001,494.1,266.7633,15.39788
97.60001,494.1,189.3289,-152.3901
97.60001,494.1,189.3289,-152.3901
97.60001,494.1,189.3289,-152.3901
97.60001,494.1,189.3289,-152.3901
97.60001,494.1,536.854,22.24614
97.60001,494.1,555.8188,59.29238
97.60001,494.1,590.6235,185.9165
97.60001,494.1,611.0183,223.9411
97.60001,494.1,619.6783,249.4562
97.60001,494.1,617.7764,253.6339
97.60001,494.1,616.3192,254.7557
97.60001,494.1,614.1353,258.2367
97.60001,494.1,611.4797,262.3448
97.60001,494.1,611.9207,262.6264
97.60001,494.1,614.0487,259.6545
97.60001,494.1,613.5844,258.5452
97.60001,494.1,576.9223,270.6953
97.60001,494.1,524.3517,289.9462
97.60001,494.1,370.4772,354.1281
97.60001,494.1,294.4223,390.1982
97.60001,494.1,200.6019,442.4667
97.60001,494.1,183.8103,456.9198
97.60001,494.1,182.6776,458.0109
97.60001,494.1,182.5227,457.363
97.60004,494.1,182.4501,457.8736
97.60004,494.1,182.3905,459.0449
97.60007,494.1,181.5222,459.8863
97.6001,494.1,180.9605,459.5175
97.60013,494.1,181.0311,456.9975
97.60019,494.1,184.2993,458.9468
97.60028,494.1,195.884,471.9262
97.6004,494.1,201.9185,478.9431
97.60052,494.1,209.6394,488.4008
97.60071,494.1,210.0373,488.9032
97.60095,494.1,209.0607,488.1985
97.60126,494.1,208.8562,488.5045
97.60162,494.1,209.0154,489.8897
97.60205,494.1,209.0905,491.0518
97.6026,494.1,209.8138,491.244
97.60321,494.1,210.4233,490.5226
97.604,494.1,210.9094,489.2797
97.60486,494.1,211.0794,488.9056
97.6059,494.1,211.0439,489.9238
97.60712,494.1,210.6566,490.5742
97.60858,494.1,210.113,492.3454
97.61023,494.1,210.2454,492.8896
97.61206,494.1,210.5486,491.5186
97.6142,494.1,210.2622,489.4531
97.61661,494.1,209.0664,485.9968
97.61938,494.1,208.8538,485.383
97.62256,494.1,208.7266,486.3973
97.62592,494.1,208.959,487.3094
97.62979,494.1,209.8938,488.5221
97.63428,494.1,210.3299,488.3791
97.63898,494.1,210.5544,486.9804
97.64435,494.1,209.9477,486.8033
97.65027,494.1,208.4796,487.9239
97.65683,494.1,207.6861,488.6163
97.66406,494.1,207.9698,487.3407
97.672,494.1,208.1426,486.7775
97.68073,494.1,210.0561,487.4029
97.69025,494.1,211.3602,490.1321
97.70068,494.1,213.644,496.1984
97.71204,494.1,214.8031,498.7393
97.72467,494.1,216.5138,500.6523
97.73785,494.1,217.3881,499.8743
97.75244,494.1,218.4624,495.8978
97.76904,494.1,218.7445,493.7569
97.78549,494.1,218.4118,494.0485
97.80371,494.1,218.4012,494.877
97.82629,494.1,217.5433,495.955
97.84787,494.1,217.4034,496.4112
97.87195,494.1,217.0204,498.2281
97.89615,494.1,216.7044,498.6602
97.9227,494.1,216.4074,498
97.95129,494.1,215.8473,496.8438
97.98187,494.1,215.1935,494.8819
98.01456,494.1,214.1481,495.7863
98.06015,494.1,214.0412,496.7447
98.09854,494.1,214.3407,496.8769
98.13843,494.1,214.9868,496.2739
98.18134,494.1,216.2053,494.8682
98.22696,494.1,216.6222,494.5497
98.27548,494.1,217.5836,492.9602
98.32706,494.1,217.4567,491.9259
98.38156,494.1,216.3805,490.6378
98.43927,494.1,215.8542,490.117
98.50037,494.1,215.1169,490.0085
98.56818,494.1,214.7104,490.9874
98.63318,494.1,215.0943,491.5859
98.70612,494.1,216.3064,493.8847
98.78119,494.1,215.3576,495.4612
98.86133,494.1,214.6382,495.7331
98.94931,494.1,214.1315,495.306
99.03461,494.1,214.6425,494.1839
99.12888,494.1,215.4919,493.7956
99.22647,494.1,216.2161,493.0243
99.33041,494.1,216.1199,492.885
99.43829,494.1,216.0222,490.7621
99.55231,494.1,215.8023,488.858
99.67163,494.1,214.8501,486.89
99.79688,494.1,214.3679,486.9152
