point_x, point_y, eye_x, eye_y
97.60001,494.1,178.2766,244.9824
97.60001,494.1,178.313,246.6707
97.60001,494.1,176.9565,246.2197
97.60001,494.1,176.0792,245.5352
97.60001,494.1,176.3652,246.5756
97.60001,494.1,177.8502,249.441
97.60001,494.1,178.2018,250.3964
97.60001,494.1,177.459,249.1879
97.60001,494.1,176.9475,247.2045
97.60001,494.1,178.0428,244.2034
97.60001,494.1,179.0216,243.6878
97.60001,494.1,179.7594,244.5556
97.60001,494.1,179.1494,245.2233
97.60001,494.1,177.4738,246.8693
97.60001,494.1,177.7876,246.8658
97.60001,494.1,179.093,245.571
97.60001,494.1,179.2995,245.0379
97.60001,494.1,179.7587,243.6391
97.60001,494.1,180.0729,243.3232
97.60001,494.1,180.6593,242.4969
97.60001,494.1,180.1926,242.783
97.60001,494.1,167.4729,251.2966
97.60001,494.1,151.6177,264.5138
97.60001,494.1,135.564,279.6058
97.60001,494.1,107.0354,310.191
97.60001,494.1,99.35786,320.2133
97.60001,494.1,98.13573,324.0368
97.60001,494.1,97.48048,323.0488
97.60001,494.1,98.31516,320.6929
97.60001,494.1,98.53822,320.5462
97.60001,494.1,99.55106,323.3564
97.60001,494.1,99.96775,324.6321
97.60001,494.1,98.83487,320.6541
97.60001,494.1,97.50552,317.7744
97.60001,494.1,93.56946,318.8266
97.60001,494.1,92.50582,322.5312
97.60001,494.1,92.31915,326.5222
97.60001,494.1,92.93354,325.5343
97.60001,494.1,93.93568,327.9227
97.60001,494.1,93.06775,330.1285
97.60001,494.1,91.40466,330.3481
97.60001,494.1,91.49357,328.6026
97.60001,494.1,92.38231,324.0587
97.60001,494.1,92.08543,324.1802
97.60001,494.1,89.9166,323.6173
97.60001,494.1,88.8198,322.715
97.60001,494.1,91.76273,320.6985
97.60001,494.1,95.98135,317.7384
97.60001,494.1,107.9048,306.7155
97.60001,494.1,114.2801,300.1877
97.60001,494.1,120.1468,292.868
97.60001,494.1,120.1072,292.6017
97.60001,494.1,119.6491,291.365
97.60001,494.1,118.6693,290.4755
97.60001,494.1,118.1757,288.0156
97.60001,494.1,118.4469,286.9593
97.60001,494.1,119.7561,284.1307
97.60001,494.1,120.4978,283.2556
97.60001,494.1,120.8329,284.9847
97.60001,494.1,120.5256,285.4922
97.60001,494.1,119.3153,287.4959
97.60001,494.1,119.8745,288.1925
97.60004,494.1,119.969,289.059
97.60004,494.1,119.5884,288.6503
97.60004,494.1,118.5206,287.5
97.6001,494.1,118.218,287.5273
97.60013,494.1,120.0929,285.1501
97.60019,494.1,120.6939,284.1633
