point_x, point_y, eye_x, eye_y
97.60001,494.1,282.9385,614.0251
97.60001,494.1,267.1577,618.3072
97.60001,494.1,265.829,618.6282
97.60001,494.1,262.6763,622.058
97.60001,494.1,263.154,622.3327
97.60001,494.1,262.9299,622.7256
97.60001,494.1,262.5154,622.2327
97.60001,494.1,261.3542,621.5022
97.60001,494.1,290.9582,620.4333
97.60001,494.1,375.5677,618.8776
97.60001,494.1,421.8478,617.5142
97.60001,494.1,485.9759,614.3287
97.60001,494.1,494.8802,612.8698
97.60001,494.1,494.8272,612.4808
97.60001,494.1,494.696,612.0872
97.60001,494.1,495.0848,611.5479
97.60001,494.1,492.9798,606.1995
