point_x, point_y, eye_x, eye_y
97.60001,494.1,784.8838,523.0565
97.60001,494.1,786.8361,529.8632
97.60001,494.1,787.497,531.9229
97.60001,494.1,788.6706,531.9191
97.60001,494.1,788.5386,531.3171
97.60001,494.1,787.5985,530.2102
97.60001,494.1,787.0093,530.4566
97.60001,494.1,785.8513,531.2849
97.60001,494.1,767.01,532.5574
97.60001,494.1,731.6284,536.1033
97.60001,494.1,612.2722,550.825
97.60001,494.1,548.733,560.0106
97.60001,494.1,466.0838,572.826
97.60001,494.1,453.5997,575.9074
97.60001,494.1,450.5228,577.1772
97.60001,494.1,450.5736,577.4994
97.60001,494.1,452.3621,577.8693
97.60001,494.1,452.4883,577.5015
97.60001,494.1,451.8486,574.5988
97.60001,494.1,451.6504,573.1798
97.60001,494.1,451.6594,572.4179
97.60001,494.1,451.9054,572.3134
97.60001,494.1,452.0479,572.9534
97.60001,494.1,452.2027,571.4817
97.60001,494.1,452.796,570.3726
97.60001,494.1,453.9058,571.3193
97.60001,494.1,454.4756,572.6884
97.60001,494.1,454.6012,573.2785
97.60001,494.1,457.3318,571.1883
97.60001,494.1,503.7791,560.5692
97.60001,494.1,599.5343,546.6523
97.60001,494.1,650.6448,540.1143
97.60001,494.1,689.7322,535.4611
97.60001,494.1,726.1146,534.2502
97.60001,494.1,728.9559,535.1086
97.60001,494.1,731.8865,535.6622
97.60001,494.1,732.6813,534.9429
97.60001,494.1,732.8409,530.3511
97.60001,494.1,732.8171,530.6348
97.60001,494.1,728.1877,530.2625
97.60001,494.1,708.6896,529.8369
97.60001,494.1,593.1245,528.6124
97.60001,494.1,503.8708,527.8987
97.60001,494.1,330.0953,529.1668
97.60001,494.1,275.4102,531.1415
97.60001,494.1,236.6364,534.4615
97.60001,494.1,235.38,534.9178
97.60001,494.1,235.5686,534.3303
97.60001,494.1,236.3184,534.2375
97.60001,494.1,236.0613,534.8155
97.60001,494.1,236.3819,532.9621
97.60001,494.1,236.5214,531.6319
97.60001,494.1,234.4112,531.3104
97.60001,494.1,232.7274,532.5222
