point_x, point_y, eye_x, eye_y
97.60001,494.1,489.0861,-143.3014
97.60001,494.1,524.7844,-141.3985
97.60001,494.1,545.0284,-144.1368
97.60001,494.1,539.7268,-143.4234
97.60001,494.1,516.8574,-140.2608
97.60001,494.1,502.4534,-138.8548
97.60001,494.1,488.7735,-138.1295
97.60001,494.1,477.3448,-138.9442
97.60001,494.1,470.0329,-143.3909
97.60001,494.1,464.5671,-145.5704
97.60001,494.1,461.8932,-146.6595
97.60001,494.1,467.6897,-130.1721
97.60001,494.1,477.5612,-120.3779
97.60001,494.1,487.4328,-110.5836
97.60001,494.1,487.4328,-110.5836
97.60001,494.1,385.5435,290.435
97.60001,494.1,385.5435,290.435
97.60001,494.1,385.5435,290.435
97.60001,494.1,385.5435,290.435
97.60001,494.1,385.5435,290.435
97.60001,494.1,385.5435,290.435
97.60001,494.1,374.3831,324.7372
97.60001,494.1,374.3831,324.7372
97.60001,494.1,374.3831,324.7372
97.60001,494.1,374.3831,324.7372
97.60001,494.1,238.5004,425.4937
97.60001,494.1,238.4756,423.4868
97.60001,494.1,235.7481,424.413
97.60001,494.1,234.6696,426.6948
97.60001,494.1,228.9583,438.3156
97.60001,494.1,227.0208,443.672
97.60001,494.1,224.8977,453.8543
97.60001,494.1,223.9832,456.5756
97.60001,494.1,221.6705,462.7635
97.60001,494.1,219.8111,464.5734
97.60001,494.1,217.8467,462.9899
97.60001,494.1,216.6506,462.0969
97.60001,494.1,204.1873,499.0386
97.60001,494.1,200.9803,520.9645
97.60001,494.1,202.3712,522.0684
97.60001,494.1,203.094,521.8903
97.60001,494.1,205.6722,521.7858
97.60001,494.1,206.243,521.3617
97.60001,494.1,207.046,521.4194
97.60001,494.1,206.6404,521.6263
97.60001,494.1,204.3999,523.0063
97.60001,494.1,203.481,524.2936
97.60001,494.1,202.5023,526.7839
97.60001,494.1,202.778,527.3582
97.60001,494.1,204.1898,525.5899
97.60001,494.1,204.7281,524.8716
97.60001,494.1,205.2583,524.0176
97.60001,494.1,205.7125,522.4988
97.60001,494.1,208.6557,517.4675
97.60001,494.1,209.3292,515.9995
97.60001,494.1,213.2743,510.4446
97.60001,494.1,220.5489,506.09
97.60001,494.1,220.5489,506.09
97.60001,494.1,220.5489,506.09
97.60001,494.1,220.5489,506.09
97.60001,494.1,377.3029,513.1702
97.60004,494.1,452.4088,541.7039
97.60004,494.1,455.2801,588.9785
97.60004,494.1,471.0687,617.3641
97.6001,494.1,479.6404,652.5585
97.60013,494.1,482.2416,659.2579
97.60019,494.1,484.3897,655.2785
97.60028,494.1,484.5817,652.1937
97.60037,494.1,482.972,650.5941
97.60049,494.1,482.1433,648.9327
97.60068,494.1,479.4932,644.9871
97.60089,494.1,467.5275,639.6744
97.6012,494.1,403.9663,616.3743
97.60153,494.1,350.2594,598.6555
97.60196,494.1,253.3306,564.644
97.60245,494.1,219.3307,550.2314
97.60309,494.1,205.0336,539.5734
97.60379,494.1,205.293,537.04
97.60464,494.1,206.8976,532.972
97.60565,494.1,207.5097,530.5003
97.60684,494.1,207.7018,524.8497
97.60818,494.1,207.7857,522.5488
97.60977,494.1,207.7457,520.2888
97.61157,494.1,207.4506,520.3934
97.61365,494.1,208.1218,521.3839
97.61597,494.1,208.3072,521.7186
97.61862,494.1,210.6544,522.6661
97.62161,494.1,211.4471,523.3008
97.625,494.1,211.4765,522.5336
97.62878,494.1,211.3872,521.5405
97.633,494.1,212.3527,521.4734
97.6377,494.1,212.9955,521.6039
97.64294,494.1,214.2949,521.9517
97.64874,494.1,215.1142,520.6755
97.65512,494.1,215.875,516.6477
97.66217,494.1,216.0576,515.455
97.67014,494.1,215.8174,512.4056
97.67859,494.1,215.3314,511.3773
97.68781,494.1,216.1825,509.1891
97.69818,494.1,216.8933,508.4687
97.70966,494.1,218.9559,509.1962
97.72122,494.1,219.5941,509.0628
97.73441,494.1,219.9469,508.5288
97.74881,494.1,222.1198,508.2133
97.76416,494.1,231.4491,509.7
97.78107,494.1,236.7812,510.8992
97.79895,494.1,245.8655,511.8153
97.81854,494.1,247.587,511.796
97.83945,494.1,247.9725,511.3051
97.86203,494.1,247.8809,510.889
97.88626,494.1,247.6838,509.7853
97.91229,494.1,247.6178,508.8004
97.94012,494.1,242.3587,505.4386
97.97076,494.1,236.2518,504.1714
98.00183,494.1,223.9401,502.4414
98.03589,494.1,219.3443,501.7533
98.07217,494.1,217.1358,500.7718
98.11084,494.1,217.7038,497.3145
98.15201,494.1,218.3963,496.1596
98.19666,494.1,219.0319,493.254
98.24234,494.1,219.1619,492.309
98.29172,494.1,218.443,491.7995
98.34506,494.1,218.1089,491.6747
98.3996,494.1,218.3293,492.7216
98.45935,494.1,218.4756,492.7591
98.52133,494.1,219.0291,493.305
98.5871,494.1,219.0062,493.2523
98.65881,494.1,219.3992,492.9742
98.73227,494.1,219.4033,492.9727
